timestamp,text,start_time,end_time
"(654.8, 660.8)", quality parameters in the aquatic environment and maintain stream flow at all times these bmps,654.8,660.8
"(660.8, 666.0)", include one passage through the stream remain unimpeded at all times.,660.8,666.0
"(666.0, 675.0)"," All sediment, silt, chemicals, debris, or any other byproducts of the demolition and construction are minimized and contained to the greatest extent possible.",666.0,675.0
"(675.0, 687.32)"," Schedule work activities during periods of minimal rainfall and in stream working low or no flow stream flow conditions, and for minimize disturbance and impacts to stream channel bottom and its substrate,",675.0,687.32
"(687.32, 688.94)"," such as cobbles and borders,",687.32,688.94
"(688.94, 691.24)", as much as possible as these are essential components,688.94,691.24
"(691.24, 693.98)", of the habitat for the native stream biota.,691.24,693.98
"(693.98, 697.38)"," Item 1C, modification of diversions are subject to SHPDI,",693.98,697.38
"(697.38, 700.36)", or State Historic Preservation Division concurrence.,697.38,700.36
"(700.36, 702.64)"," If SHPDI requires conditions,",700.36,702.64
"(702.64, 709.68)", we ask that it be delegated to the Deputy Director to attach those conditions as of abandonment.,702.64,709.68
"(710.74, 716.0)"," D, in conformance with the U.S. Fish and Wildlife Service recommendations incorporated by reference in Exhibit 3,",710.74,716.0
"(716.9, 724.86)"," the permittee shall 1. Implement plant avoidance and minimization measures identified if any work would occur in the nearby terrestrial areas,",716.9,724.86
"(729.6, 734.66)"," and 2. Employ applicable best management practices for any in-water work. E, when the use of heavy machinery may be required in stream, the permittee shall employ",729.6,734.66
"(734.66, 739.74)", the appropriate BMPs and conduct work only during low flow conditions to minimize impacts,734.66,739.74
"(739.74, 740.74)", to water quality.,739.74,740.74
"(740.74, 752.0)"," And item two, declare that the project is exempt from EA requirements under HRS Chapter 343 and HAR Chapter 11-200.1. And that concludes staff's presentation.",740.74,752.0
"(752.0, 760.0)"," Thank you very much, Dean. Commissioners, do you have any questions for staff?",752.0,760.0
"(760.0, 766.76)"," Dean, I have one. When did the letter to SHPD, when was that sent?",760.0,766.76
"(769.5, 786.64)"," Let me see. So usually, sorry, while I'm pulling that up, typically the commission staff, once we receive the application deemed that it's complete, we will forward an acknowledgement letter to the applicant stating that the",769.5,786.64
"(786.64, 792.4)", application has been received. And so that initiates the review process by the agencies.,786.64,792.4
"(792.4, 800.48)"," Along with that, we send a letter back to the applicant regarding our findings on the",792.4,800.48
"(803.04, 806.44)", finding that no historic sites would be impacted.,803.04,806.44
"(806.44, 811.0)"," And so that letter went out on March 3rd, 2023.",806.44,811.0
"(811.0, 818.24)", Are they the only agency that did not submit a response?,811.0,818.24
"(818.24, 819.24)", No.,818.24,819.24
"(819.24, 821.24)", So starting on page…,819.24,821.24
"(821.24, 834.0)"," We said we're awaiting one. Yeah, starting on page 9, when we send that acknowledgement letter, that also initiates the agency review process.",821.24,834.0
"(834.0, 846.72)"," And so, starting on page 9, all the agencies that are listed there also received letters notifying them of the availability of the application on our website and so no comments",834.0,846.72
"(846.72, 851.36)", were received from department of Hawaiian homelands division of forestry and wildlife,846.72,851.36
"(853.04, 859.76)", land division state parks office of Hawaiian affairs army corps of engineers and no public,853.04,859.76
"(859.76, 869.52)", comments were received but SHPD is required to provide a concurrence yes and um typically what it's,859.76,869.52
"(869.52, 877.44)", just because of their backlog um in in responding um and so usually uh we will receive their,869.52,877.44
"(877.44, 885.0)", comments after the fact or concurrence um after um after the commission's decision?,877.44,885.0
"(885.0, 891.0)"," Well, this is almost two months to ten weeks.",885.0,891.0
"(891.0, 894.0)", That's a long time.,891.0,894.0
"(894.0, 897.0)", If they don't...,894.0,897.0
"(897.0, 900.0)", I need to be a little careful.,897.0,900.0
"(904.0, 910.56)", I would like them to be more timely because others are waiting for responses.,904.0,910.56
"(910.56, 914.06)"," Yeah, I believe they have been getting better.",910.56,914.06
"(914.06, 915.66)", They switched over to a new system.,914.06,915.66
"(915.66, 916.66)"," Hi, Chris.",915.66,916.66
"(916.66, 923.16)"," And so I think that has been, you know, as both agencies and the general public has been",916.66,923.16
"(923.16, 926.0)", getting accustomed to how to use it,923.16,926.0
"(932.56, 941.12)", i think their times have been the response times have been gradually increasing that is my sense too i think i would just ask that um one week before our meetings in the future if we do not,932.56,941.12
"(941.12, 957.0)"," receive a response a concurrence letter from, could we please send them a reminder and ask them, if we don't get a response, could they please appear at our commission meeting to explain to us why they haven't received, why they haven't provided a timely response?",941.12,957.0
"(961.0, 963.0)", Can't do that.,961.0,963.0
"(964.0, 968.0)"," I see Michael. Michael Buck, your hand is up.",964.0,968.0
"(968.0, 974.0)"," Oh, yeah, thank you, Dean. There's some substantial comments from the Sierra Club.",968.0,974.0
"(974.0, 990.0)"," Do you care to address any of those now or wait till to the presentation? No, it's a Oh, Joanna, your hand is up.",974.0,990.0
"(990.0, 1012.0)", Thank you. There's on page 2 of the submittal gallons page three um is there also precipitation for the um the IAS stream,990.0,1012.0
"(1015.76, 1027.6)"," and then the last one is um this sorry the clean water branch does have updated standard comments. And maybe in the future, can refer to that one.",1015.76,1027.6
"(1027.6, 1033.32)", We're looking at possibility of a water quality certification,1027.6,1033.32
"(1033.32, 1037.88)", requirement for these diversions and work in streams.,1033.32,1037.88
"(1042.88, 1046.24)"," And if I'm not mistaken, if that is subject to Army Corps?",1042.88,1046.24
"(1046.24, 1048.24)", Correct. Yes.,1046.24,1048.24
"(1048.24, 1060.24)"," Which I believe, and I think EMI can answer that better, where they're at in that process of getting a determination from Army Corps.",1048.24,1060.24
"(1060.24, 1061.24)", Thank you.,1060.24,1061.24
"(1061.24, 1062.24)", Thank you.,1061.24,1062.24
"(1062.24, 1066.0)", Any other questions from the commissioners?,1062.24,1066.0
"(1066.0, 1074.0)"," If not, the okay, there's a few things.",1066.0,1074.0
"(1074.0, 1082.0)", Do we have someone in particular from the applicant that would like is Ken?,1074.0,1082.0
"(1082.0, 1085.0)", Are you gonna speak on behalf of the applicant?,1082.0,1085.0
"(1085.0, 1089.0)"," Yes. Good morning, Chair Chang. Is now appropriate time?",1085.0,1089.0
"(1089.0, 1091.0)"," Yes, please go ahead.",1089.0,1091.0
"(1091.0, 1107.76)"," Okay. Aloha, Chair Chang, honorable commissioners. My name is Ken Kawahara with Akinakan Associates. And also joining me today is Roy Hardy, one of our senior project engineers. We're here representing EMI, the applicant for items B1 and B2.",1091.0,1107.76
"(1107.76, 1109.7)"," So with your approval,",1107.76,1109.7
"(1109.7, 1112.06)", I'd like to speak on both of those items,1109.7,1112.06
"(1112.06, 1115.3)", rather than repeat myself for item B2.,1112.06,1115.3
"(1115.3, 1117.32)", And we're here today seeking approval,1115.3,1117.32
"(1117.32, 1119.82)", of the stream diversion works permits,1117.32,1119.82
"(1119.82, 1123.06)", for the implementation of the work needed to comply,1119.82,1123.06
"(1123.06, 1126.0)", with the Hualo Stream Interim Entry and Flow,1123.06,1126.0
"(1126.0, 1130.94)", Standards decisions made by the Commission in November of last year.,1126.0,1130.94
"(1130.94, 1136.12)", Let me first emphasize that EMI understands the importance of the Commission's decision,1130.94,1136.12
"(1136.12, 1142.24)", and recognizes the need to implement the IIFS decisions in a timely manner.,1136.12,1142.24
"(1142.24, 1145.58)", EMI has complied in this manner,1142.24,1145.58
"(1145.58, 1147.96)", with all of the permit application deadlines,1145.58,1147.96
"(1147.96, 1152.96)"," set as part of the commission's November 2022 action,",1147.96,1152.96
"(1153.24, 1156.62)"," which leads us to where we are today,",1153.24,1156.62
"(1156.62, 1160.96)", staff's review of the initial 13 priority permit applications,1156.62,1160.96
"(1160.96, 1163.24)", and its resulting recommendations.,1160.96,1163.24
"(1164.66, 1167.74)", I'd like to note that there are additional 14 modifications,1164.66,1167.74
"(1167.74, 1169.7)"," coming to the commission for action,",1167.74,1169.7
"(1169.7, 1172.08)", and they are not covered by today's hearing.,1169.7,1172.08
"(1173.14, 1176.5)"," There was a written testimony submitted by EMI,",1173.14,1176.5
"(1176.5, 1177.72)", and I just like to highlight,1176.5,1177.72
"(1177.72, 1180.54)", some of the major policy issues.,1177.72,1180.54
"(1180.54, 1183.12)", The other comments in the written testimony,1180.54,1183.12
"(1183.12, 1187.2)", address some of the corrected stream names and TMK numbers.,1183.12,1187.2
"(1188.22, 1193.98)"," First of all, is a recommendation by staff for the complete removal of some of the diversions.",1188.22,1193.98
"(1194.54, 1205.94)"," The permanent removal of diversions is not necessary to achieve compliance with the interim interim stream flow standards decision made by the Commission. By its very definition,",1194.54,1205.94
"(1205.94, 1213.06)", an interim interim flow standard is not permanent and can be changed in the future. While EMI,1205.94,1213.06
"(1213.06, 1218.6)", is completely in accord with the need to abandon the use of the diversions to comply with the,1213.06,1218.6
"(1218.6, 1225.24)"," IFS, that is completely different from abandoning the structure itself in perpetuity.",1218.6,1225.24
"(1225.24, 1231.32)"," Removal of such structures will only cause additional and unnecessary environmental impacts,",1225.24,1231.32
"(1231.32, 1238.4)", not to mention the additional impacts if that diversion were ever to be reinstated in the future,1231.32,1238.4
"(1238.4, 1244.16)", as part of another interim In-Stream Flow Standard decision made by a future Commission.,1238.4,1244.16
"(1244.16, 1246.96)", We recognize that the Division,1244.16,1246.96
"(1246.96, 1253.2)", of Aquatic Resources has a policy that abandoned diversion should require the removal of the,1246.96,1253.2
"(1253.2, 1259.8)"," diversion structures and the return of the stream to its natural condition as possible. However,",1253.2,1259.8
"(1259.8, 1265.58)"," we think this policy has to be applied on a case-by-case basis, and it should only be applied to permanent",1259.8,1265.58
"(1265.58, 1273.04)"," abandonments, which this is not meant to be. If this is not a permanent abandonment, the",1265.58,1273.04
"(1273.04, 1277.94)", environmental costs of removing the structure and potentially someday replacing it should,1273.04,1277.94
"(1277.94, 1284.24)"," be assessed, as should the identification of alternatives that will meet the IIFS order",1277.94,1284.24
"(1284.24, 1286.18)", without permanent removal of the,1284.24,1286.18
"(1286.18, 1291.64)", infrastructure further the impact to the structural integrity of the water system should also be,1286.18,1291.64
"(1291.64, 1299.14)", assessed bottom line this should not be a uniform policy applied to every IIFS decision across the,1291.64,1299.14
"(1299.14, 1318.0)"," state lastly we'd just like to note as highlighted in the staff's recommendation that the permits, even if approved by the Commission today, are subject to further reviews and potential conditions requirements by other county, state and federal agencies, and I think that was mentioned just previously before I testified.",1299.14,1318.0
"(1318.0, 1325.84)"," Thus, any timeline for complete envision today should be could be impacted and delayed should other regulatory reviews call for",1318.0,1325.84
"(1325.84, 1333.44)", additional studies and permitting we appreciate this opportunity opportunity comment and will be,1325.84,1333.44
"(1333.44, 1339.92)", available to answer any questions that the commission may have thank you thank you very much,1333.44,1339.92
"(1339.92, 1347.12)", ken um did roy or anyone else from the applicant want to say anything before we open it up for,1339.92,1347.12
"(1347.12, 1358.56)", questions uh none for me thank you thank you yes okay with that um commissioners,1347.12,1358.56
"(1359.2, 1369.68)", i'm open for any questions you may have for the applicant,1359.2,1369.68
"(1375.76, 1377.2)", i have do you have i have a i have a question ken this is dawn um,1375.76,1377.2
"(1390.78, 1392.26)", so are you suggesting that the removal of the stream diversions triggers a chapter 343 review?,1390.78,1392.26
"(1398.82, 1416.78)"," I think that depends on what the commission decides. Not knowing what the commission may decide. I would say that, and maybe the point I'm trying to make or the applicant is trying to make is that permanent removal of the diversions is not necessary to comply with the IIFS.",1398.82,1416.78
"(1417.72, 1421.1)", And you never know when things may change in the future.,1417.72,1421.1
"(1421.38, 1425.8)"," And maybe an example is, for example, the Koala Ditch.",1421.38,1425.8
"(1426.76, 1429.9)"," You know, part of the ditch was damaged by the landslides.",1426.76,1429.9
"(1429.9, 1434.4)"," It was repaired and another landslide occurred,",1429.9,1434.4
"(1434.4, 1436.6)", I believe in 2020.,1434.4,1436.6
"(1436.6, 1438.7)"," And my understanding, and it was in the news,",1436.6,1438.7
"(1438.7, 1441.38)", that the legislature has appropriated,1438.7,1441.38
"(1441.38, 1443.24)", quite a large sum of money,1441.38,1443.24
"(1443.24, 1447.72)", to try to repair the ditch moving forward.,1443.24,1447.72
"(1447.72, 1454.68)"," So if those diversions were permanently abandoned and demolished, you know, you never know when",1447.72,1454.68
"(1454.68, 1456.78)", things may change in the future.,1454.68,1456.78
"(1456.78, 1463.42)"," And just looking at yesterday's newspaper, the Star Advertiser, it talks about the University",1456.78,1463.42
"(1463.42, 1467.0)", of Hawaii launching an initiative to advance local food production.,1463.42,1467.0
"(1467.0, 1473.0)"," So what we're really talking about water for, you know, not only domestic use, but also for agriculture.",1467.0,1473.0
"(1473.0, 1477.0)"," You know, a future commission may may say, hey, you know what?",1473.0,1477.0
"(1477.0, 1497.16)"," You know, there's a possibility that we want to look at modifying the interim interim flow standards so i'm just you know, trying to caution the Commission that you know we understand and abiding by the ifs that was set but permanent removal of the actual diversion is not necessary to comply with the ifs.",1477.0,1497.16
"(1500.74, 1501.36)", DENISE GLUHANI- Michael.,1500.74,1501.36
"(1502.44, 1505.0)", DENISE GLUHANI- Michael first and then Neil.,1502.44,1505.0
"(1505.0, 1513.0)", This is more a comment. This is from the actual words from our East Maui decision.,1505.0,1513.0
"(1513.0, 1518.0)", Our decision will necessitate significant reductions in off-stream diversions.,1513.0,1518.0
"(1518.0, 1523.0)", In many streams we are recommending no diversions of either base or total flow.,1518.0,1523.0
"(1523.0, 1525.28)", While our order specifically identifies,1523.0,1525.28
"(1525.28, 1527.92)"," the desired streamflow expected,",1525.28,1527.92
"(1527.92, 1531.52)", we recognize that a universal remedy to modify,1527.92,1531.52
"(1531.52, 1534.92)", or remove diversions is not practical.,1531.52,1534.92
"(1534.92, 1537.84)"," At this time, the commission overall guidance",1534.92,1537.84
"(1537.84, 1540.18)", is not to remove diversion instructions,1537.84,1540.18
"(1540.18, 1543.84)", if modifications can achieve desired results.,1540.18,1543.84
"(1543.84, 1545.84)", I just want to provide that for context for,1543.84,1545.84
"(1546.56, 1553.76)", subsequent discussions okay um neil your hand was up and then i'm going to take a look,1546.56,1553.76
"(1554.4, 1567.68)", and then paul as i look at the photos in the submittal i'm looking at some infrastructure that may not last forever uh and if we don't take,1554.4,1567.68
"(1567.68, 1576.14)", them out now remove them out now do they continue to uh deteriorate and really create and ultimately,1567.68,1576.14
"(1576.14, 1582.74)", the the use for which you're you're holding them in some at some unknown future date they're really,1576.14,1582.74
"(1582.74, 1586.48)", not they're really not prepared to to meet those needs,1582.74,1586.48
"(1587.04, 1594.88)", so i guess ken what i'm looking for is what's your rating of the life of this infrastructure,1587.04,1594.88
"(1594.88, 1605.4)", i mean it's it's served us well for a century uh how much more do you think it's gonna last? It just depends.,1594.88,1605.4
"(1605.4, 1607.96)"," Some is by age, some is by condition.",1605.4,1607.96
"(1609.54, 1613.22)"," I wouldn't say that there's a rating scale that we do have,",1609.54,1613.22
"(1613.22, 1616.12)"," but in working with the staff of the Water Commission,",1613.22,1616.12
"(1616.12, 1618.78)"," for example, there was a diversion",1616.12,1618.78
"(1618.78, 1621.48)"," where the staff recommended removal of pipes,",1618.78,1621.48
"(1621.48, 1626.72)", but not demolishing the dam or the embankment and um just to be frank,1621.48,1626.72
"(1626.72, 1631.28)", we're a little bit surprised and seeing the submittal that um it kind of changed and i think,1626.72,1631.28
"(1631.28, 1638.88)", you know further discussion is necessary um but um i would say that there are certain things like,1631.28,1638.88
"(1638.88, 1646.04)", removal of pipes would do less damage than actually going there with heavy equipment and trying to,1638.88,1646.04
"(1646.04, 1652.14)", hammer out that embankment where water can flow over it now.,1646.04,1652.14
"(1653.56, 1658.88)"," But on the other hand, in terms of your surprise, Ken, I mean, isn't it fairly standard in leases",1653.56,1658.88
"(1658.88, 1662.6)", that the improvements that you put up on the land during the term of your use,1658.88,1662.6
"(1662.6, 1665.36)", have to be removed when the when you return it,1662.6,1665.36
"(1666.08, 1672.96)", um it depends i i mean i'm not an expert on the land side but in billinar i've seen where the,1666.08,1672.96
"(1672.96, 1679.52)", land division has that option if the um if the lessee does not want to remove them improvements,1672.96,1679.52
"(1679.52, 1686.66)", that sometimes they they value their improvements and would like to keep it,1679.52,1686.66
"(1694.1, 1714.88)"," so Dean my I surmise that uh this is not the first time this discussion is being is occurring and that their feeling is that uh these have no use of future value or use for us um I mean it's hard to say, right? Depending on, again, as they did note in their comments that this is an interim flow standard.",1694.1,1714.88
"(1714.88, 1726.56)"," Understandably, I think we went through the same thing in the East Maui contest case hearing hearing where um do the should these as mr as commissioner buck noted uh should these",1714.88,1726.56
"(1726.56, 1734.08)", diversions be removed or not um i think you know that may have been an oversight on our part um,1726.56,1734.08
"(1734.08, 1739.68)", being that one submittal was for modification and one one submittal was was for diversion um,1734.08,1739.68
"(1740.48, 1748.16)", and noting a division of aquatic resources comments that about these about the two diversions,1740.48,1748.16
"(1749.36, 1760.22)", um let's see Dean maybe if I can jump in yep go ahead so I think um what would be helpful is uh,1749.36,1760.22
"(1760.22, 1765.6)", model can for the testimony but I think let's take them one at a time the first item is specifically,1760.22,1765.6
"(1765.6, 1771.68)", about modifications so in that the recommendations there is no recommendation for complete approval,1765.6,1771.68
"(1771.68, 1776.72)", unless i'm missing it so what his testimony is referring to is i don't need to and maybe we,1771.68,1776.72
"(1776.72, 1781.92)", should address b2 when we get there because it's con it's co-mingling the issues right now before,1776.72,1781.92
"(1781.92, 1785.2)", you our recommendations to modify which doesn't say,1781.92,1785.2
"(1785.2, 1790.48)", removal of the diversion it just is modified to meet the ifs so i think that would be helpful if,1785.2,1790.48
"(1790.48, 1797.2)", we just take them item by item because the issues that are raised in akinaka's or uh emi's testimony,1790.48,1797.2
"(1797.2, 1807.36)", is more reflective item b2 okay you would agree ken yes yes and thank you thank you for clarifying khalil okay very good very,1797.2,1807.36
"(1807.36, 1812.8)", good aurora did you want to did you have a question i'll hold it for b2 okay then let's,1807.36,1812.8
"(1812.8, 1832.7)"," go let's let's any questions on b1 um i am now going to open it for public comments. I do see there's a David Kimo Frankel and is Tiare Lawrence also on the call. So, Mr. Frankel, go ahead.",1812.8,1832.7
"(1835.92, 1841.26)"," Thank you. Good morning, David Frankel here on behalf of the Sierra Club. We submitted a written testimony.",1835.92,1841.26
"(1841.98, 1846.08)", And I'll try to isolate this to just be one and talk about b2 a,1841.98,1846.08
"(1846.08, 1855.2)", little later um you know we are concerned that we're not receiving information in a timely manner,1846.08,1855.2
"(1855.2, 1859.76)", and so i my understanding from the water commission's decision back in,1855.2,1859.76
"(1859.76, 1867.72)", november that emi has submitted to you you a timeline to implement other system modifications.,1859.76,1867.72
"(1867.72, 1873.78)"," We, I want to reiterate, we would like to see that. It's not posted on Sea Worm's website",1867.72,1873.78
"(1873.78, 1880.76)", and we would like to receive that so that we can provide you timely information early.,1873.78,1880.76
